date,wind_speed_max_kmh,wind_direction_dominant_deg,wind_gusts_max_kmh
2022-01-01,16.7,22,26.6
2022-01-02,15.8,44,24.1
2022-01-03,31.7,170,47.5
2022-01-04,20.6,239,34.6
2022-01-05,13.1,231,19.8
2022-01-06,12.4,296,18.7
2022-01-07,24.2,213,37.8
2022-01-08,17.7,46,28.8
2022-01-09,24.4,45,37.1
2022-01-10,17.6,28,26.3
2022-01-11,16.3,17,26.3
2022-01-12,21.9,19,33.5
2022-01-13,12.6,340,19.1
2022-01-14,19.1,356,27.4
2022-01-15,21.4,45,32.4
2022-01-16,16.6,18,28.1
2022-01-17,15.3,13,23.4
2022-01-18,18.6,274,31.0
2022-01-19,16.3,192,27.0
2022-01-20,13.1,356,23.4
2022-01-21,37.4,14,56.5
2022-01-22,34.4,43,51.8
2022-01-23,15.0,25,22.0
2022-01-24,16.9,231,27.0
2022-01-25,16.5,254,27.7
2022-01-26,17.1,44,27.0
2022-01-27,20.9,45,33.8
2022-01-28,17.6,40,29.2
2022-01-29,15.9,5,26.3
2022-01-30,15.0,253,25.2
2022-01-31,16.6,304,24.5
2022-02-01,32.1,352,52.6
2022-02-02,37.6,3,57.6
2022-02-03,17.9,291,29.5
2022-02-04,16.2,23,24.1
2022-02-05,15.8,291,30.2
2022-02-06,17.4,337,27.0
2022-02-07,16.9,18,26.3
2022-02-08,16.6,301,31.3
2022-02-09,19.9,37,32.0
2022-02-10,20.1,20,32.4
2022-02-11,16.3,5,24.5
2022-02-12,17.0,33,24.1
2022-02-13,21.0,306,31.7
2022-02-14,39.0,269,58.3
2022-02-15,30.6,313,57.6
2022-02-16,25.9,319,42.5
2022-02-17,22.7,6,34.2
2022-02-18,14.7,306,27.0
2022-02-19,20.9,331,33.8
2022-02-20,36.0,261,54.4
2022-02-21,38.3,300,59.0
2022-02-22,32.9,298,51.8
2022-02-23,28.1,330,49.3
2022-02-24,22.7,263,36.0
2022-02-25,22.6,299,36.7
2022-02-26,11.2,16,19.8
2022-02-27,19.1,339,29.5
2022-02-28,22.6,288,38.2
2022-03-01,18.1,243,31.0
2022-03-02,26.8,255,42.8
2022-03-03,16.1,265,29.2
2022-03-04,49.1,284,75.2
2022-03-05,28.1,298,48.6
2022-03-06,24.1,240,39.2
2022-03-07,25.1,350,41.0
2022-03-08,22.8,266,37.1
2022-03-09,34.0,279,53.3
2022-03-10,25.5,338,44.6
2022-03-11,20.2,245,33.8
2022-03-12,29.5,254,45.4
2022-03-13,28.0,249,45.0
2022-03-14,22.7,237,38.2
2022-03-15,28.8,252,45.0
2022-03-16,29.2,271,47.2
2022-03-17,32.6,256,52.6
2022-03-18,23.1,253,38.5
2022-03-19,30.0,273,46.1
2022-03-20,31.7,293,49.0
2022-03-21,22.3,244,37.4
2022-03-22,29.6,250,45.7
2022-03-23,20.3,224,34.6
2022-03-24,33.1,247,52.2
2022-03-25,27.8,257,45.0
2022-03-26,32.8,253,52.2
2022-03-27,38.3,194,60.8
2022-03-28,24.5,254,40.0
2022-03-29,34.0,267,53.6
2022-03-30,33.5,274,52.9
2022-03-31,26.1,247,42.5
2022-04-01,26.7,239,41.4
2022-04-02,28.6,260,44.6
2022-04-03,40.3,260,63.4
2022-04-04,36.4,268,56.5
2022-04-05,28.5,279,45.4
2022-04-06,26.9,270,43.2
2022-04-07,18.8,352,30.6
2022-04-08,27.4,248,44.3
2022-04-09,35.9,276,55.8
2022-04-10,39.7,296,67.3
2022-04-11,50.1,285,77.8
2022-04-12,40.7,294,64.1
2022-04-13,28.1,248,42.8
2022-04-14,29.2,215,45.7
2022-04-15,23.2,265,40.0
2022-04-16,36.4,235,61.9
2022-04-17,31.7,267,50.8
2022-04-18,29.5,210,46.4
2022-04-19,30.0,256,46.1
2022-04-20,37.6,197,58.3
2022-04-21,35.9,236,55.8
2022-04-22,34.9,276,54.0
2022-04-23,32.8,263,51.8
2022-04-24,26.6,258,42.8
2022-04-25,33.0,261,52.2
2022-04-26,33.9,276,54.0
2022-04-27,35.8,273,56.5
2022-04-28,39.8,282,62.6
2022-04-29,32.4,266,51.8
2022-04-30,40.0,270,63.4
2022-05-01,34.6,270,54.7
2022-05-02,38.2,278,60.8
2022-05-03,33.1,284,52.2
2022-05-04,28.4,243,46.8
2022-05-05,29.5,252,47.9
2022-05-06,23.4,251,40.0
2022-05-07,39.7,284,62.6
2022-05-08,47.1,286,73.8
2022-05-09,30.4,276,50.8
2022-05-10,40.0,281,63.0
2022-05-11,37.7,282,63.4
2022-05-12,34.9,274,57.2
2022-05-13,36.3,267,58.0
